,time,open,high,low,close,tick_volume,spread,real_volume
0,1775642400,1.16962,1.16971,1.16789,1.16816,2040,0,0
1,1775643300,1.16816,1.16968,1.16793,1.16951,1576,0,0
2,1775644200,1.16951,1.16952,1.16885,1.1694499999999999,1744,0,0
3,1775645100,1.1694499999999999,1.17001,1.16933,1.16955,1470,0,0
4,1775646000,1.16955,1.16991,1.16848,1.16867,1597,0,0
5,1775646900,1.16868,1.1691,1.16814,1.16848,1386,0,0
6,1775647800,1.16848,1.16864,1.1669,1.16776,1946,0,0
7,1775648700,1.16776,1.16843,1.16764,1.16811,1352,0,0
8,1775649600,1.16811,1.16873,1.16795,1.16844,1581,0,0
9,1775650500,1.16844,1.16893,1.16789,1.1682,1157,0,0
10,1775651400,1.16821,1.16856,1.16778,1.16785,1249,0,0
11,1775652300,1.16785,1.16865,1.16773,1.16795,1233,0,0
12,1775653200,1.16795,1.16863,1.16774,1.16862,1163,0,0
13,1775654100,1.16862,1.16867,1.16825,1.16856,975,0,0
14,1775655000,1.16856,1.1689,1.16839,1.16879,1065,0,0
15,1775655900,1.16879,1.16925,1.16843,1.16902,983,0,0
16,1775656800,1.16902,1.16967,1.16848,1.16958,1450,0,0
17,1775657700,1.16958,1.1710099999999999,1.16946,1.17072,1626,0,0
18,1775658600,1.17068,1.17076,1.16942,1.16995,1814,0,0
19,1775659500,1.16994,1.17047,1.1697899999999999,1.17,1293,0,0
20,1775660400,1.17,1.17104,1.16996,1.17066,1567,0,0
21,1775661300,1.17071,1.17077,1.16881,1.17005,3041,0,0
22,1775662200,1.17005,1.17148,1.17001,1.17143,1660,0,0
23,1775663100,1.17143,1.1718,1.17122,1.1714,1750,0,0
24,1775664000,1.17139,1.17216,1.17092,1.17113,1853,0,0
25,1775664900,1.17119,1.1715200000000001,1.17024,1.17036,1846,0,0
26,1775665800,1.17036,1.1705,1.1687,1.1693,2956,0,0
27,1775666700,1.1693,1.16988,1.1688,1.16942,2508,0,0
28,1775667600,1.16941,1.17012,1.16902,1.1696,2514,0,0
29,1775668500,1.1696,1.17034,1.16932,1.1696900000000001,2187,0,0
30,1775669400,1.1696900000000001,1.16978,1.16899,1.16973,2359,0,0
31,1775670300,1.16973,1.17022,1.16894,1.1694,2593,0,0
32,1775671200,1.16942,1.16963,1.16834,1.16867,2104,0,0
33,1775672100,1.16865,1.1694,1.16848,1.16882,1913,0,0
34,1775673000,1.16881,1.16964,1.16865,1.16906,1732,1,0
35,1775673900,1.16906,1.16928,1.16846,1.16861,1299,2,0
36,1775674800,1.16861,1.16885,1.168,1.16833,1592,1,0
37,1775675700,1.16833,1.1684,1.16781,1.16799,1587,0,0
38,1775676600,1.168,1.16822,1.1676199999999999,1.1679,1517,0,0
39,1775677500,1.1679,1.16828,1.16776,1.16817,1073,2,0
40,1775678400,1.16817,1.16851,1.16778,1.1685,1026,0,0
41,1775679300,1.16851,1.16852,1.16705,1.16755,1642,0,0
42,1775680200,1.16755,1.16765,1.16686,1.16741,1428,0,0
43,1775681100,1.16741,1.16747,1.167,1.16747,755,0,0
44,1775682000,1.16747,1.16787,1.16714,1.16784,942,0,0
45,1775682900,1.16785,1.16801,1.16642,1.16654,2507,0,0
46,1775683800,1.16659,1.16684,1.16565,1.1657899999999999,1549,0,0
47,1775684700,1.1657899999999999,1.1657899999999999,1.16496,1.16502,1403,0,0
48,1775685600,1.165,1.16528,1.16434,1.16527,1686,0,0
49,1775686500,1.16527,1.16538,1.16464,1.16523,1385,0,0
50,1775687400,1.16522,1.16644,1.16521,1.16601,1286,0,0
51,1775688300,1.16601,1.16703,1.16596,1.16677,1037,2,0
52,1775689200,1.16676,1.16692,1.16623,1.16637,620,2,0
53,1775690100,1.16637,1.16642,1.16598,1.16622,334,3,0
54,1775691000,1.16622,1.16641,1.16615,1.16628,382,3,0
55,1775691900,1.16628,1.16646,1.16608,1.16619,692,3,0
56,1775692800,1.1662,1.16642,1.16544,1.16623,178,17,0
57,1775693700,1.16623,1.16649,1.16604,1.16609,104,6,0
58,1775694600,1.16617,1.16631,1.16607,1.16615,128,10,0
59,1775695500,1.1662,1.16665,1.16606,1.16651,274,3,0
60,1775696400,1.16654,1.1667399999999999,1.16635,1.16642,295,2,0
61,1775697300,1.16641,1.16643,1.16597,1.16628,320,3,0
62,1775698200,1.16628,1.16654,1.16606,1.16627,384,1,0
63,1775699100,1.16627,1.1663000000000001,1.16608,1.1662,310,3,0
64,1775700000,1.1662,1.16632,1.16601,1.16612,273,3,0
65,1775700900,1.16612,1.16619,1.16584,1.16596,256,3,0
66,1775701800,1.16596,1.16602,1.1657899999999999,1.16593,207,2,0
67,1775702700,1.16593,1.16607,1.16567,1.16587,314,2,0
68,1775703600,1.16587,1.16592,1.1651799999999999,1.16555,939,0,0
69,1775704500,1.16555,1.16593,1.16536,1.1656900000000001,642,1,0
70,1775705400,1.1656900000000001,1.16609,1.16556,1.16568,615,0,0
71,1775706300,1.16568,1.16586,1.16555,1.16571,645,0,0
72,1775707200,1.16571,1.16587,1.16534,1.16536,623,1,0
73,1775708100,1.16535,1.1655,1.16498,1.16523,649,0,0
74,1775709000,1.16523,1.16587,1.1652,1.16578,595,1,0
75,1775709900,1.16578,1.16635,1.16554,1.16617,604,2,0
76,1775710800,1.16617,1.16644,1.16584,1.16605,674,1,0
77,1775711700,1.16605,1.16645,1.16605,1.16635,481,2,0
78,1775712600,1.16635,1.16673,1.16634,1.16662,423,1,0
79,1775713500,1.16661,1.16665,1.16645,1.16652,460,0,0
80,1775714400,1.16652,1.1666400000000001,1.16627,1.16643,436,2,0
81,1775715300,1.16643,1.16651,1.16624,1.16634,376,2,0
82,1775716200,1.16634,1.16667,1.16622,1.16663,291,2,0
83,1775717100,1.16663,1.16663,1.16604,1.16617,630,0,0
84,1775718000,1.16618,1.16698,1.16614,1.16698,453,2,0
85,1775718900,1.16698,1.16698,1.16662,1.16681,351,2,0
86,1775719800,1.16681,1.1671,1.16673,1.16694,373,0,0
87,1775720700,1.16693,1.16695,1.16661,1.16663,486,0,0
88,1775721600,1.16663,1.16676,1.16618,1.16623,527,1,0
89,1775722500,1.16623,1.1666,1.16615,1.16632,569,2,0
90,1775723400,1.16632,1.16639,1.16609,1.16627,404,2,0
91,1775724300,1.16628,1.16628,1.16588,1.16608,618,0,0
92,1775725200,1.16608,1.16631,1.16588,1.16594,932,2,0
93,1775726100,1.16594,1.166,1.1654,1.16578,709,0,0
94,1775727000,1.16577,1.16597,1.16563,1.16594,761,1,0
95,1775727900,1.16594,1.16642,1.16576,1.1663999999999999,1048,0,0
96,1775728800,1.16644,1.16692,1.16631,1.1665,966,0,0
97,1775729700,1.1665,1.16652,1.16563,1.16605,1050,0,0
98,1775730600,1.16605,1.16612,1.16549,1.16609,938,0,0
99,1775731500,1.16609,1.16645,1.16591,1.16629,940,2,0
100,1775732400,1.16629,1.16666,1.16586,1.16607,1101,0,0
101,1775733300,1.16607,1.16649,1.16589,1.16628,782,0,0
102,1775734200,1.16628,1.16681,1.16624,1.16677,820,0,0
103,1775735100,1.16677,1.16748,1.1666,1.16721,963,0,0
104,1775736000,1.16721,1.16764,1.16681,1.1676,1058,0,0
105,1775736900,1.1676,1.16791,1.1673499999999999,1.16764,1010,0,0
106,1775737800,1.16764,1.16783,1.16745,1.16765,661,0,0
107,1775738700,1.16765,1.16767,1.16719,1.16745,810,0,0
108,1775739600,1.16745,1.16794,1.16742,1.16767,779,0,0
109,1775740500,1.16767,1.16792,1.16742,1.16774,673,0,0
110,1775741400,1.16774,1.16775,1.16739,1.16751,536,2,0
111,1775742300,1.16751,1.16767,1.16704,1.16711,981,0,0
112,1775743200,1.16709,1.16766,1.16682,1.16751,1012,0,0
113,1775744100,1.1675,1.16812,1.16749,1.16811,685,0,0
114,1775745000,1.16811,1.1688399999999999,1.16779,1.16881,842,0,0
115,1775745900,1.16881,1.16894,1.16839,1.16879,951,0,0
116,1775746800,1.16879,1.16891,1.16824,1.16846,906,1,0
117,1775747700,1.16846,1.16856,1.16798,1.16844,721,0,0
118,1775748600,1.16844,1.169,1.16789,1.1682,1478,0,0
119,1775749500,1.1682,1.16862,1.1678600000000001,1.1686,1056,0,0
120,1775750400,1.1686,1.16873,1.16826,1.16862,1159,0,0
121,1775751300,1.16862,1.16924,1.16854,1.16879,1008,0,0
122,1775752200,1.1688,1.16952,1.16875,1.1691799999999999,1431,0,0
123,1775753100,1.1691799999999999,1.16932,1.16793,1.16817,2216,1,0
124,1775754000,1.16817,1.16876,1.16798,1.16844,1901,0,0
125,1775754900,1.16844,1.16881,1.16803,1.16863,1160,0,0
126,1775755800,1.16863,1.16863,1.1674,1.16757,1550,0,0
127,1775756700,1.16757,1.16851,1.16728,1.16844,1605,1,0
128,1775757600,1.16844,1.16865,1.16767,1.1684,1270,0,0
129,1775758500,1.1684,1.16998,1.1684,1.16943,2250,0,0
130,1775759400,1.16943,1.17068,1.16932,1.16997,2585,0,0
131,1775760300,1.16997,1.17071,1.16972,1.17053,1763,0,0
132,1775761200,1.17053,1.17111,1.1702,1.17078,1708,1,0
133,1775762100,1.17078,1.17139,1.17077,1.17136,1310,0,0
134,1775763000,1.17136,1.17138,1.17072,1.17113,1116,1,0
135,1775763900,1.17113,1.1712799999999999,1.17081,1.17105,1255,1,0
136,1775764800,1.17104,1.17185,1.17097,1.17164,991,0,0
137,1775765700,1.17164,1.17217,1.17156,1.17196,920,0,0
138,1775766600,1.17196,1.17234,1.17156,1.17176,1425,0,0
139,1775767500,1.17176,1.17198,1.17113,1.1714,1107,0,0
140,1775768400,1.1714,1.17148,1.17023,1.17038,1845,0,0
141,1775769300,1.17038,1.1705,1.16984,1.17009,1247,0,0
142,1775770200,1.17009,1.17017,1.16962,1.16989,1081,0,0
143,1775771100,1.16989,1.17022,1.16973,1.16988,703,1,0
144,1775772000,1.16987,1.17056,1.16973,1.17056,807,1,0
145,1775772900,1.17056,1.17061,1.16983,1.1703000000000001,680,0,0
146,1775773800,1.1703000000000001,1.17085,1.1703000000000001,1.17071,709,0,0
147,1775774700,1.17071,1.17082,1.1699,1.17005,801,0,0
148,1775775600,1.17004,1.17007,1.16966,1.16984,427,1,0
149,1775776500,1.16984,1.16985,1.16965,1.16977,339,0,0
