time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779377400,1.15946,1.1609,1.15941,1.15972,3360,0,0,1.15972,1.15972
1779379200,1.15972,1.16,1.15873,1.15893,2268,1,0,1.1595444444444445,1.1596735294117646
1779381000,1.15895,1.1601,1.15763,1.15946,3804,0,0,1.1595256790123458,1.1596609688581314
1779382800,1.15946,1.15956,1.15842,1.15887,3368,0,0,1.159379972565158,1.1596144412782414
1779384600,1.15887,1.15965,1.15859,1.15928,2839,0,0,1.1593577564395672,1.1595947682618744
1779386400,1.15928,1.15938,1.15821,1.15855,3127,0,0,1.1591782550085523,1.1595333113052935
1779388200,1.15854,1.15889,1.15828,1.15883,1770,1,0,1.1591008650066519,1.159491940052041
1779390000,1.15884,1.15935,1.15844,1.15932,1881,0,0,1.1591495616718404,1.1594818259313326
1779391800,1.15933,1.15963,1.15922,1.15952,1289,0,0,1.1592318813003204,1.1594840714647838
1779393600,1.15952,1.16203,1.15927,1.16182,4262,0,0,1.159807018789138,1.159621479025679
1779395400,1.16182,1.16299,1.16146,1.16248,2920,0,0,1.160401014613774,1.159789627318286
1779397200,1.16247,1.16299,1.16188,1.16261,2445,0,0,1.1608919002551574,1.1599555315936807
1779399000,1.16262,1.16271,1.16071,1.16113,2899,0,0,1.1609448113095668,1.160024617970523
1779400800,1.16109,1.16207,1.16097,1.16198,1699,0,0,1.1611748532407742,1.1601396404428452
1779402600,1.16198,1.16241,1.16141,1.16211,1630,0,0,1.1613826636317133,1.1602555439462072
1779404400,1.1621,1.16226,1.16158,1.16183,672,3,0,1.1614820717135548,1.160348159008195
1779406200,1.16184,1.16188,1.16159,1.16173,453,3,0,1.1615371668883203,1.160429443772419
1779408000,1.16177,1.16224,1.1615,1.16206,451,4,0,1.1616533520242491,1.1605253588446296
1779409800,1.16206,1.16209,1.16172,1.16186,503,0,0,1.1616992737966383,1.1606038671478867
1779411600,1.16181,1.16214,1.1615,1.16166,262,0,0,1.161690546286274,1.1606659926097758
1779413400,1.16166,1.16189,1.16165,1.16172,182,3,0,1.161697091555991,1.1607279930444947
1779415200,1.16172,1.16184,1.16158,1.16171,194,3,0,1.161699960099104,1.1607857581595245
1779417000,1.16169,1.1619,1.16165,1.16177,263,3,0,1.1617155245215254,1.1608436547383758
1779418800,1.16178,1.1618,1.16129,1.1614,931,1,0,1.1616454079611864,1.160876380930236
