,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33,ema_9,ema_15,ema_20,ema_50
0,0,0,0,1768361400,4614.58,4619.88,4613.57,4619.16,14995,4,0,4619.16,4619.16,4619.16,4619.16,4619.16,4619.16
1,1,1,1,1768363200,4619.17,4621.35,4614.32,4619.97,12850,4,0,4619.34,4619.207647058824,4619.322,4619.26125,4619.237142857142,4619.191764705883
2,2,2,2,1768365000,4619.98,4623.67,4617.97,4620.56,12566,4,0,4619.611111111111,4619.287197231834,4619.569600000001,4619.42359375,4619.3631292517,4619.245420991926
3,3,3,3,1768366800,4620.56,4622.85,4613.31,4615.12,11015,4,0,4618.613086419753,4619.042067982902,4618.679680000001,4618.88564453125,4618.9590217039195,4619.083639776556
4,4,4,4,1768368600,4615.12,4629.97,4614.9,4628.22,8742,4,0,4620.747956104253,4619.581946336849,4620.587744000001,4620.052438964844,4619.8410196368795,4619.441928412769
5,5,5,5,1768370400,4628.22,4630.14,4625.23,4626.52,8500,4,0,4622.03063252553,4619.990067140563,4621.7741952000015,4620.860884094239,4620.477113004796,4619.719499847562
6,6,6,6,1768372200,4626.52,4630.4,4625.32,4629.34,8403,4,0,4623.654936408746,4620.540063191118,4623.287356160002,4621.920773582458,4621.321197480529,4620.096774363344
7,7,7,7,1768374000,4629.28,4639.65,4629.28,4634.19,9082,4,0,4625.996061651247,4621.343000650464,4625.467884928002,4623.454426884651,4622.546797720478,4620.649449878507
8,8,8,8,1768375800,4634.19,4639.7,4618.01,4619.8,15070,4,0,4624.619159062081,4621.25223590632,4624.334307942401,4622.99762352407,4622.2851979375755,4620.616138118566
9,9,9,9,1768377600,4619.8,4635.24,4618.5,4633.02,14940,4,0,4626.48601260384,4621.944457323595,4626.071446353922,4624.250420583561,4623.307560038758,4621.102564074701
10,10,10,10,1768379400,4633.02,4637.27,4626.13,4637.27,12793,4,0,4628.882454247431,4622.845959833971,4628.311157083137,4625.877868010616,4624.637316225543,4621.736581169811
11,11,11,11,1768381200,4637.27,4639.59,4631.55,4637.15,8518,4,0,4630.71968663689,4623.687373961385,4630.07892566651,4627.286884509289,4625.8290003945385,4622.341028967073
12,12,12,12,1768383000,4637.15,4638.39,4632.47,4632.52,7148,4,0,4631.119756273137,4624.20694019895,4630.567140533209,4627.941023945628,4626.466238452202,4622.740204301698
13,13,13,13,1768384800,4632.51,4634.18,4621.94,4625.06,11603,4,0,4629.773143767996,4624.257120187248,4629.465712426567,4627.580895952425,4626.332310980563,4622.831176682023
14,14,14,14,1768386600,4625.06,4637.9,4624.46,4634.91,10663,4,0,4630.914667375108,4624.883760176233,4630.554569941254,4628.497033958372,4627.14923374432,4623.304856027827
15,15,15,15,1768388400,4634.91,4639.56,4633.25,4637.5,8406,4,0,4632.378074625083,4625.625891930572,4631.943655953004,4629.622404713575,4628.135021006766,4623.8615283404615
16,16,16,16,1768390200,4637.49,4637.75,4627.13,4630.42,8461,4,0,4631.942946930621,4625.907898287597,4631.638924762404,4629.722104124377,4628.3526380537405,4624.1187233075025
17,17,17,17,1768392000,4630.42,4637.0,4627.85,4634.95,7339,4,0,4632.611180946038,4626.439786623621,4632.301139809923,4630.37559110883,4628.980958239099,4624.543479256227
18,18,18,18,1768393800,4634.94,4638.21,4631.22,4633.04,9497,4,0,4632.706474069141,4626.82803446929,4632.448911847939,4630.7086422202265,4629.3675336449,4624.87667614814
19,19,19,19,1768395600,4633.04,4637.44,4629.25,4630.22,8849,4,0,4632.153924275999,4627.02756185345,4632.003129478351,4630.647561942698,4629.448720916814,4625.0862182599785
20,20,20,20,1768397400,4630.26,4632.83,4626.08,4630.37,9025,4,0,4631.757496659111,4627.22417586207,4631.676503582681,4630.612866699861,4629.536461781879,4625.293425387038
